"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"70","tt0241527","Fri Mar 17 00:00:00 2017","","","Harry Potter and the Sorcerer's Stone","Feature Film","Chris Columbus","7","7.5","152","2001","adventure, family, fantasy","487239","2001-11-04","http://www.imdb.com/title/tt0241527/"
"71","tt0217869","Fri Mar 17 00:00:00 2017","","","Unbreakable","Feature Film","M. Night Shyamalan","7","7.2","106","2000","drama, mystery, sci_fi, thriller","273816","2000-11-14","http://www.imdb.com/title/tt0217869/"
"72","tt2980516","Fri Mar 17 00:00:00 2017","","","The Theory of Everything","Feature Film","James Marsh","9","7.7","123","2014","biography, drama, romance","302037","2014-09-07","http://www.imdb.com/title/tt2980516/"
"73","tt1515091","Fri Mar 17 00:00:00 2017","","","Sherlock Holmes: A Game of Shadows","Feature Film","Guy Ritchie","6","7.5","129","2011","action, adventure, crime, mystery, thriller","359295","2011-12-10","http://www.imdb.com/title/tt1515091/"
"74","tt0368891","Fri Mar 17 00:00:00 2017","","","National Treasure","Feature Film","Jon Turteltaub","6","6.9","131","2004","action, adventure, family, mystery, thriller","265496","2004-11-08","http://www.imdb.com/title/tt0368891/"
"75","tt1379182","Fri Mar 17 00:00:00 2017","","","Dogtooth","Feature Film","Yorgos Lanthimos","7","7.3","94","2009","drama, thriller","51589","2009-05-18","http://www.imdb.com/title/tt1379182/"
"76","tt1599348","Fri Mar 17 00:00:00 2017","","","Safe House","Feature Film","Daniel Espinosa","7","6.8","115","2012","action, crime, mystery, thriller","175346","2012-02-07","http://www.imdb.com/title/tt1599348/"
"77","tt1907668","Fri Mar 17 00:00:00 2017","","","Flight","Feature Film","Robert Zemeckis","7","7.3","138","2012","drama, thriller","277470","2012-10-14","http://www.imdb.com/title/tt1907668/"
"78","tt1280558","Thu Mar 16 00:00:00 2017","","","A Wednesday","Feature Film","Neeraj Pandey","7","8.3","104","2008","crime, drama, mystery, thriller","52097","2008-09-05","http://www.imdb.com/title/tt1280558/"
"79","tt0127357","Thu Mar 16 00:00:00 2017","","","Who Am I?","Feature Film","Benny Chan, Jackie Chan","6","6.8","120","1998","action, adventure, comedy, sci_fi, thriller","29667","1998-01-17","http://www.imdb.com/title/tt0127357/"
"80","tt1954470","Thu Mar 16 00:00:00 2017","","","Gangs of Wasseypur","Feature Film","Anurag Kashyap","7","8.3","320","2012","action, crime, drama, thriller","53881","2012-05-22","http://www.imdb.com/title/tt1954470/"
"81","tt0477080","Thu Mar 16 00:00:00 2017","","","Unstoppable","Feature Film","Tony Scott","7","6.8","98","2010","action, thriller","158237","2010-10-26","http://www.imdb.com/title/tt0477080/"
"82","tt2119532","Tue Mar 14 00:00:00 2017","","","Hacksaw Ridge","Feature Film","Mel Gibson","8","8.2","139","2016","biography, drama, history, war","226211","2016-09-04","http://www.imdb.com/title/tt2119532/"
"83","tt3741834","Tue Mar 14 00:00:00 2017","","","Lion","Feature Film","Garth Davis","7","8.1","118","2016","biography, drama","111739","2016-09-10","http://www.imdb.com/title/tt3741834/"
